patent,claim
RE038690,"6. The toilet attachment of , wherein the base plate comprises a middle and two outer sections, said middle section being thicker than said two outer sections and depending therefrom to depend into said bowl during use and about a portion of said bowl."
RE038690,"7. The toilet attachment of , wherein the limiter has a generally double “L” shape."
RE038690,"8. The toilet attachment of , wherein the limiter has a generally lateral “U”, shape."
RE038690,"9. The toilet attachment of , wherein the limiter comprises a loop, said loop having a plane that is parallel to the tube."
RE038690,"10. The toilet attachment of , wherein the limiter has a generally lateral “S” shape."
RE038690,"11. A toilet attachment to be positioned between a toilet seat and a toilet bowl and to be connected to a fluid line, comprising:



"
RE038690,"12. A method for applying a toilet attachment for irrigating a body cavity, comprising the steps of:





"
RE038690,"13. A toilet attachment for fluid irrigation of a body cavity, the attachment being for use with a toilet having a seat and bowl, comprising:




"
RE038690,"14. The toilet attachment of , wherein the means has a generally double “L” shape."
RE038690,"15. The toilet attachment of , wherein the means has a generally lateral “U” shape."
RE038690,"16. The toilet attachment of , wherein the means comprises a loop formed by the irrigation tip."
RE038690,"17. The toilet attachment of , wherein the means has a generally “S” shape."
RE038690,"18. A toilet attachment for use with a toilet having a seat and a bowl, to irrigate a body cavity with fluid from a fluid line, comprising:


"
RE038690,"19. A toilet attachment as defined in , wherein the limiter comprises a shaped tube that changes the flow of fluid to the outlet by more than 90°."
RE038690,"20. A toilet attachment to be positioned between a toilet seat and a toilet bowl and to be connected to a fluid line, comprising:


"
RE038690,"21. A toilet attachment for use with a toilet having a seat and a bowl with a rim having an upper surface, to irrigate a body cavity with fluid from a fluid source, the toilet attachment comprising:


"
RE038690,"22. The toilet attachment of , wherein the tubular assembly comprises a flexible portion, and the attachment member comprises a port with an upper opening, the port sized to accommodate said flexible portion extending therethrough, the opening sized such that said flexible portion must be deformed to pass therethrough, wherein the tubular assembly is releasably held by the attachment member. "
RE038690,"23. The toilet attachment of , wherein the channel comprises a first holder portion comprising a projection extending from a side of the channel so as to partially close the channel. "
